pitch_no,game_no,pa_of_inning,pitch_of_pa,batter_side,pitcher_throws,outs,balls,strikes,k_or_bb,hit_type,play_result,pitch_call,tagged_pitch_type,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,exit_speed,angle,direction,distance,bearing
886,11,3,1,Left,Right,2,0,0,Undefined,Undefined,Undefined,StrikeCalled,ChangeUp,83.7600454,1536.81783,2:15,5.691653451,2.738453011,6.406412846,-33.85757357,4.834149412,1.33E+01,1.453476018,-0.078483791,0.41847986,NULL,NULL,NULL,NULL,NULL
887,11,3,2,Left,Right,2,0,1,Undefined,Undefined,Undefined,BallCalled,Fastball,94.3198184,2291.684995,1:15,5.742773282,2.838792606,5.935733782,-16.18688983,14.98531311,10.36271196,3.554624394,-0.553913918,0.066682994,NULL,NULL,NULL,NULL,NULL
888,11,3,3,Left,Right,2,1,1,Undefined,Undefined,Undefined,HitByPitch,Curveball,81.27744336,2440.6397,7:00,5.667806146,2.733331108,5.411467102,-58.08392048,-14.47746889,-8.587779395,6.52E-01,-2.171884017,9.36E-06,NULL,NULL,NULL,NULL,NULL
889,11,4,1,Left,Right,2,0,0,Undefined,Undefined,Undefined,BallCalled,Fastball,94.43402553,2347.086846,1:15,5.796853664,2.714585059,6.220355785,-15.8502333,14.70697105,11.52451645,2.262203498,1.002207022,0.611871719,NULL,NULL,NULL,NULL,NULL
890,11,4,2,Left,Right,2,1,0,Undefined,Undefined,Undefined,StrikeSwinging,Slider,85.45110181,2223.720932,12:00,5.771279897,2.738428226,5.995953905,-33.9034391,4.087755462,-0.077770642,2.972034274,0.405958796,0.99070859,NULL,NULL,NULL,NULL,NULL
891,11,4,3,Left,Right,2,1,1,Undefined,Undefined,Undefined,BallCalled,Fastball,93.15365576,2297.657076,1:30,5.691897,2.687377012,5.974535201,-17.61483745,14.15034778,14.6203046,3.861536209,1.015155353,0.000204872,NULL,NULL,NULL,NULL,NULL
892,11,4,4,Left,Right,2,2,1,Undefined,Undefined,Undefined,BallCalled,Fastball,94.37589633,2398.532247,1:15,5.765606108,2.557651418,6.423361893,-13.36493282,17.34534781,13.01383564,2.19230123,-0.780041884,0.752699554,NULL,NULL,NULL,NULL,NULL
893,11,4,5,Left,Right,2,3,1,Undefined,Undefined,Undefined,StrikeCalled,Slider,87.2773348,2199.056802,11:30,5.675438862,2.874749795,6.187810095,-30.34210166,5.612945949,-1.645937446,3.071865525,1.089209984,0.098667048,NULL,NULL,NULL,NULL,NULL
894,11,4,6,Left,Right,2,3,2,Undefined,Undefined,Undefined,FoulBall,ChangeUp,83.32940282,1394.124288,3:00,5.618887251,2.858507828,6.220216722,-39.24290208,0.214606453,14.77454437,2.335978672,1.717548186,0.000233202,64.73047062,29.43307994,-162.7499403,151.6686337,-162.5006075
895,11,4,7,Left,Right,2,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,94.97567763,2393.194188,1:30,5.662683626,2.783430677,6.368861946,-15.0697842,14.93262107,14.63455863,2.558138753,1.211959604,0.020198328,76.59658927,51.75987255,-130.2638605,221.5179433,-138.5598655
896,11,4,8,Left,Right,2,3,2,Undefined,LineDrive,Out,InPlay,Fastball,94.85808792,2359.153446,1:30,5.731916392,2.616835147,6.52890568,-18.586121,11.36705983,11.16117163,2.371123573,0.567129153,0.986282408,94.9524028,8.616989994,-20.22766022,162.3869693,-25.5124327
897,11,1,1,Right,Right,0,0,0,Undefined,GroundBall,Out,InPlay,Fastball,93.22680901,2156.892145,1:30,5.911332561,2.788924657,5.959936494,-17.53956669,14.47430304,13.58604145,2.457820555,0.907681344,0.589204431,75.90238203,11.04040966,-15.34640866,136.6591516,-16.77552281
898,11,2,1,Left,Right,1,0,0,Undefined,Undefined,Undefined,BallCalled,Fastball,94.27946499,2397.97143,1:45,5.851310725,2.818694829,6.17199895,-18.51310762,12.64510875,15.68555413,0.993047732,0.445184057,0.000598306,NULL,NULL,NULL,NULL,NULL
899,11,2,2,Left,Right,1,1,0,Undefined,FlyBall,Out,InPlay,Fastball,93.45373776,2289.437686,1:45,5.817057691,2.875065527,5.825844984,-18.4082706,13.85083102,17.36596926,2.212145593,0.261160217,0.99647671,102.3116963,41.11868916,-3.07458188,358.562895,-17.31261586
900,11,3,1,Right,Right,2,0,0,Undefined,Undefined,Undefined,StrikeCalled,Fastball,94.12249813,2310.168265,1:30,5.908104688,2.647455442,6.065140071,-16.95272021,14.47980864,13.13296956,2.489149333,0.686922416,0.96094358,NULL,NULL,NULL,NULL,NULL
901,11,3,2,Right,Right,2,0,1,Undefined,Undefined,Undefined,FoulBall,Fastball,93.42588369,2259.012318,1:15,5.844380937,2.641054013,6.025858568,-15.9754194,15.81000164,12.62321853,2.483778037,0.264390834,0.988576472,76.44915928,54.07290472,123.8580825,196.874586,139.9242925
902,11,3,3,Right,Right,2,0,2,Undefined,GroundBall,Out,InPlay,Curveball,78.20349877,2272.528705,7:15,5.798499949,2.666232173,6.124832695,-58.64953213,-13.16018799,-9.528656172,2.797212718,-0.647521444,0.879092276,74.48534572,-28.88426466,-37.94349905,6.325973926,-24.23231519
903,11,1,1,Right,Right,0,0,0,Undefined,Undefined,Undefined,StrikeCalled,Fastball,93.97703088,2396.855522,1:15,5.890656622,2.502691632,6.397356382,-14.20516607,16.68906636,13.21042107,2.202132175,-0.532316437,0.988339663,NULL,NULL,NULL,NULL,NULL
